Id,Title,URL,Date,Description,Categories,Image URL,Source
1,"La protesta de los agricultores de España, en directo | Los agricultores mantienen las protestas en las carreteras en varias provincias de España",,No Publication Date,"Un grupo de tractoristas avanza hacia Barcelona para concentrarse frente a la Consellería de Acción Climática de la Generalitat | Decenas de tractores mantienen bloqueados los accesos al puerto de Málaga | Los manifestantes provocan retenciones en vías de Pamplona, Logroño y Valencia","['Economía', 'Agricultura', 'Protestas sociales', 'Cortes carretera', 'Castilla y León', 'Noticias de España', 'Tractorada', 'Castilla-La Mancha']",,El País
2,El Gobierno confía en la “decisión final” de la Fiscalía sobre la implicación de Puigdemont en terrorismo,,No Publication Date,"El Ejecutivo dilata la idea de limitar los plazos de instrucción, pero confía en sacar la ley de amnistía adelante","['España', 'Amnistía', 'PSOE', 'Pedro Sánchez', 'Gobierno', 'Gobierno de España', 'Pactos políticos', 'Pactos postelectorales', 'Investidura parlamentaria', 'Investidura parlamentaria Pedro Sánchez 2023', 'Congreso Diputados', 'JuntsxCat', 'Carles Puigdemont', 'Procés Independentista Catalán']",,El País
3,Tres vicesecretarios del PP de Madrid acusan a un concejal de la capital de promover irregularidades y espionaje a otros cargos ,,No Publication Date,"Alberto González es secretario general del PP en los 21 distritos de la capital, presidente del PP de Latina y fue director general de Autónomos y Emprendimiento con Isabel Díaz Ayuso entre 2021 y 2023","['José Luis Martínez Almeida', 'Ayuntamiento Madrid', 'Comunidad de Madrid', 'Madrid', 'PP', 'Alfonso Serrano', 'Isabel Díaz Ayuso', 'José Antonio Monago', 'Génova', 'Coacciones', 'Espionaje', 'Fraude fiscal']",,El País
4,Los bomberos localizan los cadáveres de los tres desaparecidos en el derrumbe del edificio de Badalona,,No Publication Date,Los cuerpos estaban sepultados por toneladas de escombros,"['Cataluña', 'Bomberos', 'Badalona', 'Muertes', 'Cadáveres', ""Mossos d'Esquadra"", 'Accidentes', 'Vivienda']",,El País
5,Sebastián Piñera: el político millonario que llevó dos veces a la derecha a La Moneda,,No Publication Date,"Quebró la hegemonía de la izquierda chilena en 2010, enfrentó un estallido social y a los 74 años no abandonaba la posibilidad de retornar al Gobierno","['Chile', 'América', 'Latinoamérica', 'Sebastián Piñera', 'Accidentes aéreos', 'Helicópteros']",,El País
6,Todas las nominaciones a los Premios Goya 2024,,No Publication Date,"Consulte quiénes son los candidatos de la 38ª gala de los galardones del cine español, que se celebrará el 10 de febrero, en Valladolid","['Premios Goya', 'Premios cine', 'Películas', 'Actores', 'Hovik Keuchkerian', 'Alberto Ammann', 'Álex Brendemühl', 'José Coronado', 'Albert Espinosa', 'Hugo Silva', 'Actrices', 'Patricia López Arnaiz', 'Maria Vazquez', 'Malena Alterio', 'Carolina Yuste', 'Laia Costa', 'Ane Gabarain', 'Ana Torrent', 'Luisa Gavasa', 'Premios', 'Industria cine', 'Directores cine', 'Juan Antonio Bayona', 'Victor Erice', 'David Trueba', 'Isabel Coixet', 'Guionistas', 'Michel Gaztambide', 'FéLix Viscarret', 'Pablo Berger', 'Nicolás Casariego', 'Andrea Motis & Joan Chamorro Group', 'Xoel López', 'Alfonso Vilallonga', 'Carmen Garrido', 'Academia de Cine', 'Cine español', 'Cine', 'Cultura']",,El País
7,"Últimas noticias de política, en directo | Sánchez defiende su política económica y las ayudas al campo ante el “catastrofismo” de Feijóo",,No Publication Date,Abascal reprocha al PP y PSOE que su política perjudica al campo español frente a Turquía y Marruecos,"['España', 'Política', 'Gobierno', 'Gobierno de España', 'Partidos políticos', 'Gobierno de coalición', 'Congreso Diputados', 'Senado', 'Legislaturas políticas', 'XV Legislatura España', 'PSOE', 'PP', 'Sumar', 'Vox', 'JuntsxCat', 'Ley de amnistía', 'Elecciones', 'Elecciones Gallegas', 'Pedro Sánchez', 'Alberto Núñez Feijóo', 'Yolanda Díaz', 'Santiago Abascal', 'Carles Puigdemont']",,El País
8,Siemens Energy deja atrás los números rojos pese al lastre de Gamesa,,No Publication Date,"La buena marcha del resto de negocios compensan los continuos contratiempos en su división de aerogeneradores. “Nuestro objetivo sigue siendo resolver los problemas de calidad”, dice el jefe del gigante alemán","['Economía', 'Siemens Gamesa', 'Siemens', 'Alemania', 'Energía', 'Energías renovables', 'Energía eólica']",,El País
9,20 ofertas del día muy potentes en Amazon,,No Publication Date,"No puedes dejar escapar los increíbles descuentos que ofrece esta plataforma de comercio electrónico en categorías como tecnología, moda, hogar o belleza","['Comercio electrónico', 'Amazon', 'Rebajas', 'Tecnología', 'Belleza', 'Casa hogar', 'Ventas internet']",,El País
10,"Guerra entre Israel y Gaza, en directo | Hamás propone un alto el fuego de tres fases para liberar a los rehenes y expulsar al ejército israelí de Gaza ",,No Publication Date,"Qatar, Egipto y Estados Unidos llevan semanas mediando para que se produzca un intercambio de secuestrados a cambio de varias semanas de tregua, la excarcelación de numerosos presos palestinos y la entrada de más ayuda humanitaria en el enclave","['Guerra', 'Israel', 'Hamás', 'Palestina', 'Conflicto árabe-israelí', 'Franja Gaza', 'Benjamin Netanyahu', 'Territorios palestinos', 'Conflictos armados', 'Oriente próximo', 'Jerusalén', 'Tel Aviv', 'Cisjordania', 'Bombardeos', 'Tregua']",,El País
11,Atlético de Madrid - Athletic: horario y dónde ver el partido de semifinal de la Copa del Rey,,No Publication Date,La ida de la semifinal se juega en el estadio Metropolitano este miércoles ,"['Copa Rey Fútbol', 'Atlético Madrid', 'Athletic', 'Fútbol', 'Futbolistas', 'Entrenadores', 'Competiciones', 'Deportes', 'Clubes fútbol', 'Simeone']",,El País
12,10 pulseras superventas para regalar por San Valentín,,No Publication Date,Sorprende a tu pareja en esta fecha tan especial y enamórala de nuevo con una de estas pulseras,"['Comercio electrónico', 'Amazon', 'Regalos', 'Parejas hecho', 'Amor', 'Ventas internet', 'Bisutería']",,El País
13,Las cinco noticias clave del 7 de febrero,,No Publication Date,Una selección de las historias de actualidad de la jornada,"['El País', 'Elpais.com', 'Prensa', 'Prensa digital', 'Medios comunicación']",,El País
14,El cepillo para fregar platos que es viral en TikTok,,No Publication Date,"Con un diseño innovador, esta será la solución perfecta para que la limpieza en casa sea más eficiente, cómoda y rápida ","['Amazon', 'Cepillos baño', 'Limpieza', 'Menaje hogar', 'Casa hogar']",,El País
15,"Rodrigo Quian Quiroga, neurocientífico: “El olvido es la característica esencial de la inteligencia”",,No Publication Date,"El investigador, descubridor de las ‘neuronas de Jennifer Aniston’, advierte de que la inteligencia artificial “está lejísimos de acercarse” a la humana, pero no es imposible que la alcance","['Salud', 'Neurología', 'Neurociencia', 'Neuronas', 'Neurotecnología', 'Ciencia ficción', 'Ciencia', 'Filosofía', 'Memoria']",,El País
16,Biden gana con holgura las primarias de Nevada ,,No Publication Date,El presidente obtiene el 88% de los votos en la tercera parada de las elecciones internas. Nikki Haley ha sido derrotada por la opción de “ninguno de los anteriores“ en la contienda republicana,"['Elecciones EE UU', 'Joseph Biden', 'Partido Demócrata EE UU', 'Nevada (Estados Unidos)', 'Las Vegas', 'Elecciones', 'Donald Trump']",,El País
