titulo,subtitulo,autor,texto,url,fecha,categoria
"Del hermano de Ayuso a las comisiones millonarias de Luceño y Medina, otros precedentes",El caso del exasesor de Ábalos es uno de una larga lista de irregularidades detectadas en los peores momentos de la pandemia del covid-19,M. C. Cereijo,"La llamada  operación Delorme  en la que está  implicado el antiguo asesor del exministro de Transporte ,  José Luis Ábalos , es una más en una larga lista de casos, algunos de gran proyección mediática, que se sucedieron en el 2020, en los peores momentos de la pandemia del  covid-19 . Las mascarillas se convirtieron en un elemento de primera necesidad y no había producción para tanta demanda.  Durante el Estado de alarma se suprimieron todas las trabas en las contrataciones  y se pasó a procedimientos de urgencia en los que las administraciones pueden designar a dedo al contratado. Se suprimieron los estándares convencionales de control que buscan es evitar comportamientos delictivos. Surgió así un  campo abonado para el negocio fácil , como se ha demostrado en el tiempo. Dos años después de la pandemia, algunos casos se han archivado y otros están pendientes de sentencia judicial.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/hermano-ayuso-comisiones-millonarias-lucero-ledina-precedentes/00031708613364296869658.htm,22 Feb 2024,Isabel Díaz Ayuso
Dimite el Consejo de Informativos de RTVE que criticó el comportamiento de Inés Hernand en los Goya,La polémica retransmisión de la alfombra roja de los Goya fue un nuevo desencuentro entre los directivos de medios interactivos y la redacción de RTVE Play,Autor no encontrado,El  Consejo de Informativos de Medios Interactivos de  RTVE  ha dimitido este jueves  como consecuencia de sus críticas al papel desempeñado por  la presentadora  Inés Hernand  durante la  retransmisión de la alfombra roja de los Goya . La renuncia se materializó este jueves después de una tensa asamblea de trabajadores en la cual comprobaron que no contaban con el apoyo de los mismos y que han «perdido la confianza de la redacción».,https://www.lavozdeasturias.es/noticia/actualidad/2024/02/23/dimite-consejo-informativos-rtve-critico-comportamiento-ines-hernand-goya/0003_202402G23P44993.htm,22 Feb 2024,Inés Hernand
«Zorra» cruza el charco: Gloria Trevi hará un «remix» de la canción con Nebulossa,El dúo que representará a España en Eurovisión se encuentra inmerso en una gira por Estados Unidos para dar a conocer el tema,Autor no encontrado,"El grupo  Nebulossa  representará a España en  Eurovisión  con el tema  Zorra .  Lo hará a pesar del  aluvión de críticas a la letra  y después de que la Unión Europea de Radiodifusión (UER) confirmase que la canción era perfectamente  «apta» para participar en el Festival , según su reglamento. Así que hasta el próximo 11 de mayo, el dúo formado por María Bas y Mark Dasousa sigue internacionalizando su propuesta para ganar en Malmö (Suecia).",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/zorra-cruza-charcogloria-trevi-hara-remix-cancion-nebulossa/00031708602232573662189.htm,22 Feb 2024,Nebulossa
El misterio de San Marino: ¿por qué la peor selección de fútbol del mundo no deja de sumar seguidores?,"Ocupa el último lugar en el ránking FIFA, algo que ha motivado a cientos de miles de usuarios de redes a comenzar un movimiento de apoyo internacional. El objetivo es ver a este humilde país ganar un partido, algo que lleva sin suceder más de 20 años",Carlos Portolés,"El fútbol es un deporte de once contra once en el que siempre pierde la selección nacional de  San Marino . Es este un país hasta difícil de situar en el mapa, principalmente porque es tan pequeño que parece un borrón de tinta. Está dentro de  Italia . Rodeado de  italianidad . Casi recuerda a la aldeíta gala de Astérix. En un territorio lleno de genios de la redonda, una pequeña población se atreve a ser más mala que un dolor de estómago. Desde luego, sus futbolistas se beneficiarían de un sorbito de poción mágica, porque el equipo lleva unas dos décadas sin ganar un partido. Es,  según el ránking  FIFA , el peor del mundo , ocupando el puesto 211. Justo por encima están tres diminutos archipiélagos: Anguila, Islas Vírgenes Británicas e Islas Vírgenes Estadounidenses. Quiera Dios que algún día organicen un torneíllo, aunque sea pequeñito. Sería un festival de la ilusión.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/06/misterio-san-marino-peor-seleccion-futbol-mundo-deja-sumar-seguidores/00031707220567307403880.htm,22 Feb 2024,Italia
La teniente fiscal del Supremo rechaza la imputación de Puigdemont en el caso Tsunami por la falta de indicios,Se posiciona con el fiscal de la Audiencia Nacional y en contra del juez y de la mayoría de fiscales del TS,Autor no encontrado,"La  teniente fiscal del  Tribunal Supremo  (TS), María Ángeles Sánchez-Conde, ha presentado el  informe final en el que se opone a que en la causa de Tsunami Democràtic   se investigue por  terrorismo  al expresidente catalán  Carles Puigdemont  por su presunta implicación en los disturbios atribuidos a la plataforma independentista en el otoño del 2019 en señal de protesta por la sentencia del  procés . Pide que se devuelva a la Audiencia Nacional la causa de Tsunami Democràtic al considerar que no hay indicios suficientes contra Puigdemont y Wagensberg.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/teniente-fiscal-supremo-rechaza-imputacion-puigdemont-tsunami-falta-indicios/00031708593295528227542.htm,22 Feb 2024,Carles Puigdemont
Al menos cinco muertos tras chocar un carguero contra un puente en China,El buque partió el viaducto y los vehículos que circulaban por él cayeron al agua,Autor no encontrado,"Al menos cinco personas han muerto y otras dos han resultado heridas a causa de la violenta colisión de un carguero contra un puente, en  Cantón , en el sur de  China . Las víctimas mortales circulaban en vehículos por el viaducto cuando el buque chocó contra uno de los pilares, tras lo cual  partió la plataforma y varios automóviles cayeron al agua . Esa zona de la estructura ha quedado inutilizada, obligando a suspender el tráfico rodado.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/cinco-muertos-tras-empotrarse-carguero-contra-puente-china/00031708610658840515107.htm,22 Feb 2024,Marítima
Biden tacha a Putin de «loco hijo de puta» en un acto de recaudación,"El Kremlin lo acusó de comportarse como «un vaquero de Hollywood», y aseguró que «debería darle vergüenza»",Andrés Rey,Joe Biden llamó «loco hijo de puta» a Vladimir Putin  durante un acto de recaudación de fondos para su campaña.,https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/biden-asegura-cambio-climatico-verdadera-amenaza-existente-pesar-loco-hijo-puta-putin/00031708589650460582122.htm,22 Feb 2024,Joe Biden
El juez que investiga las presuntas mordidas por la venta de mascarillas durante la pandemia deja en libertad al exasesor de Ábalos,El PP y Sumar se unen en reclamar al PSOE explicaciones por el caso de Koldo García,Autor no encontrado,"El  juez de la Audiencia Nacional Ismael Moreno , que investiga la presuntas mordidas en la compra de mascarillas, acordó este jueves la  puesta en libertad de Koldo García , el asesor del exministro José Luis Ábalos, de  su hermano Joseba, del presidente del Zamora, Víctor de Aldama, y del empresario vasco Íñigo Rotaetxe.  Fuentes jurídicas confirmaron a Europa Press que el titular del Juzgado Central de Instrucción número 2 tomó la decisión después de que la Fiscalía Anticorrupción no haya solicitado prisión para ninguno de ellos. Con todo, el magistrado ha acordado que tanto el exasesor de Ábalos como De Aldama deben presentarse en el juzgado de forma periódica a instancias del Ministerio Público.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/pp-sumar-reclaman-psoe-explicaciones-exasesor-abalos/00031708594343108717302.htm,22 Feb 2024,Sumar
La Comisión Constitucional valida a Carmen Calvo como presidenta del Consejo de Estado,"El PSOE y sus socios parlamentarios sumaron 19 votos a favor, por los 18 en contra de PP, Vox y UPN, que consideran que la exministra no es una jurista de reconocido prestigio",Autor no encontrado,"La Comisión Constitucional del Congreso validó a la exministra y exvicepresidenta primera  Carmen Calvo  como presidenta del  Consejo de Estado . Lo logró gracias a los 19 votos favorables del PSOE, Sumar y sus socios parlamentarios. PP, Vox y UPN registraron 18 votos en contra, al considerar que la política andaluza no era idónea para el cargo.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/comision-constitucional-valida-carmen-calvo-presidenta-consejo-estado/00031708619401898355982.htm,22 Feb 2024,Carmen Calvo
La Audiencia Nacional admite parcialmente la querella de Podemos contra la cúpula de Interior con el PP por investigaciones extrajudiciales,"El juez Santiago Pedraz rechazó investigar al exministro del Interior, Jorge Fernández Díaz, pero sí que aceptó hacer lo propio con el ex secretario de Estado Francisco Martínez",Autor no encontrado,"El juez de la Audiencia Nacional  Santiago Pedraz  ha admitido parcialmente la querella de Podemos contra el que fuera secretario de Estado de Seguridad  Francisco Martínez , el exdirector Adjunto Operativo (DAO) Eugenio Pino y otros altos cargos de la Policía por las presuntas investigaciones prospectivas y ajenas al control judicial sobre los cargos de la formación morada.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/audiencia-nacional-admite-parcialmente-querella-podemos-contra-cupula-interior-pp-investigaciones-extrajudiciales/00031708622070567574320.htm,22 Feb 2024,Categoría no encontrada
